epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.7554,4.61085,9.11426,1.36041,0.00013,0.02015,9e-05,2e-05,4.50635,7.33353,1.27891,0.0002,0.0002,0.0002
2,105.856,4.25293,6.68908,1.20617,0.00078,0.11839,0.00545,0.0006,4.28603,6.13875,1.31407,0.00040614,0.00040614,0.00040614
3,156.667,4.08249,5.54144,1.11644,0.24604,0.02015,0.04092,0.01016,3.62428,5.16217,1.1138,0.00059776,0.00059776,0.00059776
4,207.666,3.85312,4.34358,1.13899,0.16832,0.23678,0.07528,0.01375,3.79239,4.20875,1.16405,0.00077486,0.00077486,0.00077486
5,258.945,3.64578,3.56344,1.00578,0.3254,0.10936,0.1024,0.02077,3.57688,4.12993,1.10296,0.00093744,0.00093744,0.00093744
6,309.455,3.53508,3.24739,0.99575,0.64137,0.03156,0.13099,0.02827,3.37418,4.35746,1.03034,0.0010855,0.0010855,0.0010855
7,359.956,3.43711,3.08137,1.01337,0.35755,0.05542,0.07559,0.01502,3.74727,4.06912,1.08547,0.00121904,0.00121904,0.00121904
8,411.431,3.41319,2.93774,0.97864,0.35953,0.43829,0.25602,0.06057,3.36094,2.89501,1.01472,0.00133806,0.00133806,0.00133806
9,462.786,3.41389,2.58955,1.02973,0.36866,0.39547,0.25875,0.05684,3.30073,2.6687,0.99239,0.00144256,0.00144256,0.00144256
10,514.141,3.25972,2.85915,0.96685,0.40179,0.44081,0.29091,0.06937,3.28886,2.4475,0.99413,0.001406,0.001406,0.001406
11,564.569,3.28823,2.55061,0.98388,0.32359,0.42417,0.25246,0.05827,3.31405,2.40454,0.99547,0.00134,0.00134,0.00134
12,614.82,3.2164,2.28614,0.99688,0.42392,0.5153,0.37799,0.08441,3.2634,2.19641,0.98453,0.001274,0.001274,0.001274
13,664.889,3.18409,2.2413,0.96094,0.43005,0.46348,0.32291,0.0739,3.19379,2.09171,0.96891,0.001208,0.001208,0.001208
14,715.488,2.92278,2.12182,0.86693,0.49563,0.47029,0.36817,0.0818,3.15462,1.99205,0.95951,0.001142,0.001142,0.001142
15,766.218,3.14537,2.15687,0.9679,0.48959,0.48324,0.36735,0.09382,3.12565,1.89299,0.96702,0.001076,0.001076,0.001076
16,816.101,3.25977,2.00369,0.92253,0.4845,0.53267,0.4101,0.0986,3.12011,1.90516,0.95184,0.00101,0.00101,0.00101
17,866.44,3.00721,2.02203,0.85545,0.56557,0.56675,0.44254,0.11087,3.04115,1.88458,0.94823,0.000944,0.000944,0.000944
18,919.979,2.98736,1.86768,0.92955,0.55036,0.54156,0.41257,0.09809,3.06568,1.86543,0.96793,0.000878,0.000878,0.000878
19,974.008,3.12817,1.85041,0.94717,0.42108,0.38791,0.31935,0.0661,3.27285,1.93787,0.97309,0.000812,0.000812,0.000812
20,1024.88,3.09618,1.92554,0.90528,0.45715,0.49001,0.38959,0.08756,3.08252,1.86181,0.94837,0.000746,0.000746,0.000746
21,1075.75,2.99074,2.11112,1.02379,0.4765,0.49874,0.38188,0.09259,3.06803,1.80739,0.96281,0.00068,0.00068,0.00068
22,1128.26,3.02175,2.02334,0.97445,0.46592,0.54912,0.41304,0.09546,3.0574,1.80946,0.94161,0.000614,0.000614,0.000614
23,1180.18,2.92989,1.93295,1.00159,0.51348,0.53701,0.43332,0.10943,2.98187,1.73669,0.93735,0.000548,0.000548,0.000548
24,1229.37,3.03714,1.96852,0.98035,0.52378,0.57431,0.427,0.11046,2.98781,1.77915,0.94558,0.000482,0.000482,0.000482
25,1278.67,2.87229,1.89785,0.96555,0.53448,0.57683,0.45049,0.116,2.97904,1.73308,0.94322,0.000416,0.000416,0.000416
26,1327.99,3.01372,1.84163,0.99168,0.57072,0.55416,0.48873,0.1228,3.00563,1.62906,0.94109,0.00035,0.00035,0.00035
27,1377.4,2.80893,1.79156,0.97099,0.49408,0.57563,0.44323,0.10699,3.09213,1.67213,0.94966,0.000284,0.000284,0.000284
28,1426.85,3.0235,1.81156,0.96712,0.47218,0.52393,0.40608,0.09913,3.10432,1.66225,0.95246,0.000218,0.000218,0.000218
29,1476.53,3.13522,1.86432,0.93902,0.54266,0.58438,0.47318,0.11532,3.02293,1.59053,0.94078,0.000152,0.000152,0.000152
30,1526.31,2.90963,1.75227,0.94786,0.59181,0.58067,0.47405,0.12067,2.98277,1.56253,0.93422,8.6e-05,8.6e-05,8.6e-05
